LAST SEEN   TYPE      REASON                   OBJECT                                      MESSAGE
54m         Normal    SuccessfulCreate         daemonset/static-local-static-provisioner   Created pod: static-local-static-provisioner-946rp
54m         Normal    Scheduled                pod/static-local-static-provisioner-946rp   Successfully assigned rclone/static-local-static-provisioner-946rp to fv-az774-627
54m         Normal    Pulling                  pod/static-local-static-provisioner-946rp   Pulling image "registry.k8s.io/sig-storage/local-volume-provisioner:v2.6.0"
54m         Normal    Pulled                   pod/static-local-static-provisioner-946rp   Successfully pulled image "registry.k8s.io/sig-storage/local-volume-provisioner:v2.6.0" in 1.558s (1.558s including waiting)
54m         Normal    Created                  pod/static-local-static-provisioner-946rp   Created container provisioner
54m         Normal    Started                  pod/static-local-static-provisioner-946rp   Started container provisioner
53m         Normal    SuccessfulCreate         daemonset/csi-nodeplugin-rclone             Created pod: csi-nodeplugin-rclone-74jr7
53m         Normal    Scheduled                pod/csi-nodeplugin-rclone-74jr7             Successfully assigned rclone/csi-nodeplugin-rclone-74jr7 to fv-az774-627
53m         Normal    SuccessfulCreate         statefulset/csi-controller-rclone           create Pod csi-controller-rclone-0 in StatefulSet csi-controller-rclone successful
53m         Normal    Scheduled                pod/csi-controller-rclone-0                 Successfully assigned rclone/csi-controller-rclone-0 to fv-az774-627
53m         Normal    Pulling                  pod/csi-nodeplugin-rclone-74jr7             Pulling image "k8s.gcr.io/sig-storage/csi-node-driver-registrar:v2.4.0"
53m         Normal    Pulling                  pod/csi-controller-rclone-0                 Pulling image "k8s.gcr.io/sig-storage/csi-attacher:v3.4.0"
53m         Normal    Pulled                   pod/csi-nodeplugin-rclone-74jr7             Successfully pulled image "k8s.gcr.io/sig-storage/csi-node-driver-registrar:v2.4.0" in 673ms (673ms including waiting)
53m         Normal    Created                  pod/csi-nodeplugin-rclone-74jr7             Created container node-driver-registrar
53m         Normal    Started                  pod/csi-nodeplugin-rclone-74jr7             Started container node-driver-registrar
53m         Normal    Pulling                  pod/csi-nodeplugin-rclone-74jr7             Pulling image "wunderio/csi-rclone:v1.3.0"
53m         Normal    Pulled                   pod/csi-controller-rclone-0                 Successfully pulled image "k8s.gcr.io/sig-storage/csi-attacher:v3.4.0" in 856ms (856ms including waiting)
53m         Normal    Created                  pod/csi-controller-rclone-0                 Created container csi-attacher
53m         Normal    Started                  pod/csi-controller-rclone-0                 Started container csi-attacher
53m         Normal    Pulling                  pod/csi-controller-rclone-0                 Pulling image "wunderio/csi-rclone:v1.3.0"
53m         Normal    Pulled                   pod/csi-nodeplugin-rclone-74jr7             Successfully pulled image "wunderio/csi-rclone:v1.3.0" in 1.419s (1.419s including waiting)
53m         Normal    Pulled                   pod/csi-controller-rclone-0                 Successfully pulled image "wunderio/csi-rclone:v1.3.0" in 1.051s (1.051s including waiting)
53m         Normal    Created                  pod/csi-nodeplugin-rclone-74jr7             Created container rclone
53m         Normal    Created                  pod/csi-controller-rclone-0                 Created container rclone
53m         Normal    Started                  pod/csi-nodeplugin-rclone-74jr7             Started container rclone
53m         Normal    Started                  pod/csi-controller-rclone-0                 Started container rclone
53m         Normal    LeaderElection           lease/external-attacher-leader-csi-rclone   csi-controller-rclone-0 became leader
53m         Warning   ProvisioningFailed       persistentvolumeclaim/data-rclone           no volume plugin matched name: kubernetes.io/no-provisioner
53m         Warning   FailedScheduling         pod/package-file                            0/1 nodes are available: pod has unbound immediate PersistentVolumeClaims. preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
53m         Warning   FailedScheduling         pod/package-file                            0/1 nodes are available: pod has unbound immediate PersistentVolumeClaims. preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
53m         Normal    Scheduled                pod/package-file                            Successfully assigned rclone/package-file to fv-az774-627
53m         Normal    SuccessfulAttachVolume   pod/package-file                            AttachVolume.Attach succeeded for volume "data-rclone"
53m         Normal    Pulling                  pod/package-file                            Pulling image "ghcr.io/bioconductor/bioconductor:devel"
53m         Normal    Pulled                   pod/package-file                            Successfully pulled image "ghcr.io/bioconductor/bioconductor:devel" in 39.338s (39.338s including waiting)
53m         Normal    Created                  pod/package-file                            Created container copy-packages
53m         Normal    Started                  pod/package-file                            Started container copy-packages
1s          Normal    Pulled                   pod/package-file                            Container image "ghcr.io/bioconductor/bioconductor:devel" already present on machine
1s          Normal    Created                  pod/package-file                            Created container sleep
1s          Normal    Started                  pod/package-file                            Started container sleep
